id,순위,마번,마명,산지,성별,연령,중량,기수명,조교사명,마주명,마체중,단승,연승,장구현황,구간별순위,S-1F,1코너,2코너,3코너,G-3F,4코너,G-1F,경주기록,날짜,날씨,주로상태,등급,거리
465,4,12,올드스페셜,한,수,3세,56.5,송재철,박재우,이진경,475,3.7,1.8,"망사+,망사눈-",6-   -   - 5- 5- 4- 3,00:13.3,  ,  ,00:29.9,00:41.8,00:48.2,  ,01:20.9,2021년03월28일(일),흐림,포화,국6등급,1300M
466,5,9,대세만세,한,암,3세,51.5,임다빈,박희철,신영식,495,54.7,5.6,"계란형큰, 망사눈",10-   -   - 10- 10- 11- 9,00:13.6,  ,  ,00:30.6,00:42.8,00:49.2,  ,01:21.4,2021년03월28일(일),흐림,포화,국6등급,1300M
467,6,8,원더풀니키야,한,암,4세,55,문정균,최봉주,지대섭,461,61.7,19.6,"계란형큰, 망사눈",5-   -   - 4- 4- 5- 6,00:13.3,  ,  ,00:29.9,00:41.8,00:48.3,  ,01:21.5,2021년03월28일(일),흐림,포화,국6등급,1300M
468,7,10,스피어건,한,수,3세,56.5,이혁,유재길,김영완,469,45.4,3.9,,12-   -   - 12- 12- 12- 12,00:13.7,  ,  ,00:31.1,00:43.4,00:49.8,  ,01:21.5,2021년03월28일(일),흐림,포화,국6등급,1300M
469,8,7,마이더스캠프,한,수,3세,56.5,이용호,서인석,이유환,441,110.8,16.5,"계란형큰, 눈가면",9-   -   - 9- 9- 9- 8,00:13.6,  ,  ,00:30.4,00:42.5,00:48.8,  ,01:21.8,2021년03월28일(일),흐림,포화,국6등급,1300M
470,9,5,온리위너,한,암,4세,55,김정준,송문길,손병철,436,3.5,1.4,,4-   -   - 6- 6- 6- 7,00:13.3,  ,  ,00:30.1,00:42.1,00:48.5,  ,01:22.2,2021년03월28일(일),흐림,포화,국6등급,1300M
471,10,6,찬기참,한,암,3세,54.5,김용근,강성오,김세민,443,69.4,5.7,"반가지큰, 망사눈",8-   -   - 11- 11- 10- 10,00:13.6,  ,  ,00:30.8,00:42.9,00:49.2,  ,01:22.2,2021년03월28일(일),흐림,포화,국6등급,1300M
472,11,11,럭키밸리,한,암,3세,54.5,하정훈,구자흥,정찬헌,506,218,46.4,"눈가면,계란형큰-",13-   -   - 13- 13- 13- 13,00:13.9,  ,  ,00:31.4,00:44.0,00:50.4,  ,01:22.5,2021년03월28일(일),흐림,포화,국6등급,1300M
473,12,4,빅리치,한,거,3세,56.5,조한별,배휴준,김진철,481,186.7,17.9,망사눈,1-   -   - 1- 1- 1- 2,00:13.1,  ,  ,00:29.6,00:41.5,00:48.0,  ,01:22.6,2021년03월28일(일),흐림,포화,국6등급,1300M
474,13,1,새남의별,한,수,4세,53,김아현,김동철,김선식,489,19.4,2.8,망사,2-   -   - 3- 3- 3- 11,00:13.3,  ,  ,00:29.9,00:41.8,00:48.2,  ,01:23.2,2021년03월28일(일),흐림,포화,국6등급,1300M
475,14,3,천둥기세,한,수,4세,57,김효정,배대선,(주)디알엠씨티,504,307.9,15.2,망사,14-   -   - 14- 14- 14- 14,00:14.0,  ,  ,00:32.5,00:45.3,00:51.9,  ,01:26.2,2021년03월28일(일),흐림,포화,국6등급,1300M
476,1,14,파이어로드,한,수,3세,54.5,김정준,송문길,손병철,499,8.8,2.5,망사눈,3-   -   - 3- 3- 3- 1,00:13.8,  ,  ,00:36.3,00:48.6,00:54.7,  ,01:26.4,2021년03월28일(일),흐림,포화,국5등급,1400M
477,2,1,만세,한,거,4세,54,김동수,임봉춘,김진태a,483,12.9,2.4,"망사눈,반가지큰-",9-   -   - 8- 7- 7- 3,00:14.2,  ,  ,00:37.2,00:49.0,00:55.4,  ,01:27.1,2021년03월28일(일),흐림,포화,국5등급,1400M
478,3,11,와니케이,한,암,6세,52,김옥성,유재길,김영완,465,20.5,8,"반가지큰, 눈가면",1-   -   - 1- 1- 1- 2,00:13.5,  ,  ,00:36.1,00:48.2,00:54.4,  ,01:27.2,2021년03월28일(일),흐림,포화,국5등급,1400M
479,4,7,발바투,한,수,4세,57,최범현,곽영효,안영환,492,5.6,2.1,"계란형큰, 망사눈",10-   -   - 12- 13- 13- 12,00:14.2,  ,  ,00:37.8,00:50.4,00:56.7,  ,01:27.6,2021년03월28일(일),흐림,포화,국5등급,1400M
480,5,9,레인,한,암,5세,52.5,이혁,이신영,이성영,493,64.6,7.4,망사눈,13-   -   - 13- 12- 12- 10,00:14.4,  ,  ,00:38.0,00:50.0,00:56.2,  ,01:27.7,2021년03월28일(일),흐림,포화,국5등급,1400M
481,6,8,천지폭풍,한,거,5세,54.5,김귀배,서인석,홍상기,461,43,8.5,"계란형큰, 양털코,혀끈-",5-   -   - 5- 6- 6- 5,00:13.9,  ,  ,00:36.7,00:48.9,00:55.3,  ,01:27.9,2021년03월28일(일),흐림,포화,국5등급,1400M
482,7,13,골드필드,한,암,5세,52,문성혁,조현수,윤영기,451,51.7,17.5,"계란형큰, 망사",11-   -   - 10- 11- 11- 9,00:14.2,  ,  ,00:37.2,00:49.8,00:55.8,  ,01:28.0,2021년03월28일(일),흐림,포화,국5등급,1400M
483,8,3,트루팀버,한,암,7세,51,임다빈,토니,(주)녹원목장,479,24.3,5.8,"계란형큰, 망사눈",8-   -   - 9- 8- 8- 7,00:14.1,  ,  ,00:37.2,00:49.0,00:55.4,  ,01:28.0,2021년03월28일(일),흐림,포화,국5등급,1400M
484,9,5,럭키플랜,한,암,4세,52,문정균,이희영,김재영a,465,90.4,22.3,"망사, 반가지큰",4-   -   - 4- 4- 5- 6,00:13.9,  ,  ,00:36.7,00:48.8,00:55.0,  ,01:28.4,2021년03월28일(일),흐림,포화,국5등급,1400M
485,10,4,청산강호,한,수,3세,54.5,먼로,이관호,황은호,498,3.5,1.4,"계란형큰, 망사",12-   -   - 11- 10- 10- 11,00:14.4,  ,  ,00:37.6,00:49.5,00:55.7,  ,01:28.8,2021년03월28일(일),흐림,포화,국5등급,1400M
486,11,6,초동로켓,한,수,4세,56,김용근,최영주,손병철,539,2.9,1.3,"망사눈, 승인편자",2-   -   - 2- 2- 2- 4,00:13.6,  ,  ,00:36.1,00:48.3,00:54.4,  ,01:28.9,2021년03월28일(일),흐림,포화,국5등급,1400M
487,12,2,뇌성벽력,한,거,5세,52,우에다,서인석,홍상기,498,40.4,10.1,"계란형큰, 눈가면,혀끈-",7-   -   - 6- 5- 4- 8,00:14.1,  ,  ,00:36.9,00:48.8,00:54.9,  ,01:29.1,2021년03월28일(일),흐림,포화,국5등급,1400M
488,13,12,진또배기,한,수,3세,51,김아현,지용철,박시용,481,13.9,4.3,계란형큰,6-   -   - 7- 9- 9- 13,00:13.9,  ,  ,00:36.9,00:49.0,00:55.5,  ,01:29.5,2021년03월28일(일),흐림,포화,국5등급,1400M
489,1,10,흥과기쁨,미,수,3세,52,이준철,김대근,고광숙,474,42.4,3.4,망사눈,2-   -   - 2- 2- 2- 2,00:13.3,  ,  ,00:35.3,00:47.3,00:53.4,  ,01:24.0,2021년03월28일(일),흐림,포화,혼4등급,1400M
490,2,5,블랙머스크,미,수,3세,56,임기원,김동균,김한수,496,1.4,1.2,"계란형큰, 망사눈",1-   -   - 1- 1- 1- 1,00:13.1,  ,  ,00:35.2,00:47.2,00:53.2,  ,01:24.5,2021년03월28일(일),흐림,포화,혼4등급,1400M
491,3,11,안양옥센,미,거,4세,55,안토니오,구자흥,(주)에이에프피,479,8.1,1.8,"자극판, 계란형큰, 망사눈",3-   -   - 5- 4- 3- 3,00:13.3,  ,  ,00:35.6,00:47.5,00:53.6,  ,01:25.3,2021년03월28일(일),흐림,포화,혼4등급,1400M
492,4,8,문학드림,미,수,4세,53.5,최범현,박종곤,권경자,502,6.9,2.6,"반가지큰, 망사눈",5-   -   - 4- 5- 5- 4,00:13.4,  ,  ,00:35.6,00:47.6,00:53.8,  ,01:25.5,2021년03월28일(일),흐림,포화,혼4등급,1400M
493,5,9,소울메리트,미,수,4세,58,문세영,안병기,박남성,523,12.1,2.1,망사눈,10-   -   - 7- 7- 7- 5,00:13.9,  ,  ,00:35.9,00:47.8,00:54.0,  ,01:25.7,2021년03월28일(일),흐림,포화,혼4등급,1400M
494,6,13,럭키훈,미,거,3세,52,유승완,전승규,최기영,472,28.2,6.5,"계란형큰, 망사눈",14-   -   - 11- 11- 11- 7,00:14.5,  ,  ,00:36.4,00:48.6,00:54.8,  ,01:25.9,2021년03월28일(일),흐림,포화,혼4등급,1400M
495,7,14,문학앙코르,미,수,3세,51.5,박태종,정호익,권경자,527,115.3,11.6,"계란형큰, 망사눈",9-   -   - 10- 10- 8- 8,00:13.7,  ,  ,00:36.2,00:48.3,00:54.5,  ,01:26.7,2021년03월28일(일),흐림,포화,혼4등급,1400M
496,8,2,남산러브,미,수,3세,52,이용호,리카디,이기선,487,50.1,7.1,,12-   -   - 13- 13- 13- 11,00:14.4,  ,  ,00:36.9,00:49.1,00:55.3,  ,01:27.0,2021년03월28일(일),흐림,포화,혼4등급,1400M
497,9,7,불굴의러너,호,거,5세,55,송재철,김점오,이미양,492,53.4,5.2,"계란형큰, 망사눈",13-   -   - 14- 14- 14- 12,00:14.5,  ,  ,00:37.6,00:49.8,00:56.2,  ,01:27.2,2021년03월28일(일),흐림,포화,혼4등급,1400M
498,10,6,아미고라로,미,거,4세,57.5,박현우,박천서,김종진,448,235.2,13,"반가지큰, 망사눈, 혀끈",4-   -   - 3- 3- 4- 6,00:13.4,  ,  ,00:35.6,00:47.5,00:53.8,  ,01:27.7,2021년03월28일(일),흐림,포화,혼4등급,1400M
499,11,4,두손멍군,미,수,3세,51,임다빈,정호익,이도명,469,24.5,2.3,망사눈,7-   -   - 6- 6- 6- 9,00:13.6,  ,  ,00:35.9,00:47.8,00:54.0,  ,01:27.7,2021년03월28일(일),흐림,포화,혼4등급,1400M
500,12,3,삼단가속,미,수,3세,51,방춘식,지용철,이수길,453,484.8,39.2,,8-   -   - 9- 9- 10- 10,00:13.7,  ,  ,00:36.2,00:48.3,00:54.7,  ,01:27.8,2021년03월28일(일),흐림,포화,혼4등급,1400M
501,13,1,에치드프라임,미,거,4세,52,윤영민,조현수,김종진,497,255.4,58.9,,11-   -   - 12- 12- 12- 13,00:14.0,  ,  ,00:36.8,00:49.0,00:55.2,  ,01:28.6,2021년03월28일(일),흐림,포화,혼4등급,1400M
502,14,12,아리안왕자,호,수,5세,54.5,조한별,이신영,지앤지프로덕션,476,293.3,15,"반가지큰, 망사눈",6-   -   - 8- 8- 9- 14,00:13.4,  ,  ,00:35.9,00:48.2,00:54.5,  ,01:29.8,2021년03월28일(일),흐림,포화,혼4등급,1400M
503,1,2,엉클오,미,수,5세,55,임다빈,이신영,오종택,466,5.2,2.5,망사,1-   -   - 1- 1- 1- 1,00:13.3,  ,  ,00:34.9,00:46.6,00:52.7,  ,01:24.1,2021년03월28일(일),흐림,포화,혼3등급,1400M
504,2,3,수리수리마,미,암,4세,53,송재철,강환민,서창식,482,35,4.1,망사눈,12-   -   - 9- 8- 8- 4,00:13.8,  ,  ,00:35.7,00:47.7,00:53.9,  ,01:25.0,2021년03월28일(일),흐림,포화,혼3등급,1400M
505,3,6,마이티뉴,뉴,거,4세,56,안토니오,서홍수,조병태,499,8.2,1.8,망사,3-   -   - 4- 4- 4- 3,00:13.4,  ,  ,00:35.3,00:47.2,00:53.3,  ,01:25.4,2021년03월28일(일),흐림,포화,혼3등급,1400M
506,4,14,록의제왕,미,수,4세,52,김용근,이신영,정영식,486,8.3,2,망사,10-   -   - 12- 12- 12- 7,00:13.7,  ,  ,00:36.2,00:48.3,00:54.4,  ,01:25.4,2021년03월28일(일),흐림,포화,혼3등급,1400M
507,5,5,블루마카롱,미,암,4세,55,이준철,김대근,최병욱,468,18.6,3.4,망사눈,2-   -   - 2- 2- 2- 2,00:13.4,  ,  ,00:35.1,00:46.8,00:52.9,  ,01:25.5,2021년03월28일(일),흐림,포화,혼3등급,1400M
508,6,8,프리맥스,미,수,4세,55.5,문세영,임봉춘,김호진,474,1.6,1.2,"계란형큰, 망사눈",5-   -   - 7- 5- 5- 5,00:13.6,  ,  ,00:35.5,00:47.4,00:53.5,  ,01:25.7,2021년03월28일(일),흐림,포화,혼3등급,1400M
509,7,13,러닝복스,한,암,5세,55,먼로,최봉주,오종환,460,48.3,7.1,망사눈,4-   -   - 3- 3- 3- 6,00:13.5,  ,  ,00:35.1,00:46.9,00:53.2,  ,01:26.0,2021년03월28일(일),흐림,포화,혼3등급,1400M
510,8,12,에모리삭스,미,암,5세,55.5,함완식,이관호,김창식,479,127.8,27.2,망사,9-   -   - 10- 11- 11- 8,00:13.6,  ,  ,00:35.9,00:48.1,00:54.3,  ,01:26.3,2021년03월28일(일),흐림,포화,혼3등급,1400M
511,9,7,파이트투데이,미,수,5세,57.5,이용호,토니,한명로,494,81.3,5.6,"계란형큰, 망사눈,혀끈+",13-   -   - 13- 14- 14- 12,00:13.9,  ,  ,00:36.4,00:48.5,00:54.6,  ,01:26.5,2021년03월28일(일),흐림,포화,혼3등급,1400M
512,10,1,다이나믹커밍,미,수,4세,54.5,박태종,박대흥,이일형,512,39.2,7.1,망사,11-   -   - 11- 10- 10- 9,00:13.8,  ,  ,00:36.2,00:48.1,00:54.3,  ,01:26.6,2021년03월28일(일),흐림,포화,혼3등급,1400M
513,11,4,샤크짱,미,수,4세,52,방춘식,이희영,이종길,489,59.1,12.5,"계란형큰, 망사눈",14-   -   - 14- 13- 13- 10,00:14.8,  ,  ,00:36.7,00:48.5,00:54.6,  ,01:26.8,2021년03월28일(일),흐림,포화,혼3등급,1400M
514,12,11,베스트럭키,한,수,4세,52,유승완,최상식,고광숙,494,83.6,13.4,망사눈,8-   -   - 6- 6- 6- 11,00:13.6,  ,  ,00:35.3,00:47.4,00:53.6,  ,01:27.2,2021년03월28일(일),흐림,포화,혼3등급,1400M
515,13,9,문학보스,미,수,4세,57,최범현,박종곤,권경자,479,51,7.6,,6-   -   - 8- 9- 9- 13,00:13.6,  ,  ,00:35.6,00:47.7,00:54.0,  ,01:27.8,2021년03월28일(일),흐림,포화,혼3등급,1400M
516,14,10,극기상진,미,수,5세,53,김동수,김점오,김우식,506,80.4,9.2,망사,7-   -   - 5- 7- 7- 14,00:13.6,  ,  ,00:35.3,00:47.5,00:53.8,  ,01:28.3,2021년03월28일(일),흐림,포화,혼3등급,1400M
517,1,6,옥스퍼드킹,한,수,3세,55,안토니오,박재우,민형근,470,7.8,1.6,망사,1-   -   - 1- 1- 1- 1,00:13.3,  ,  ,00:23.9,00:35.5,00:41.6,  ,01:12.1,2021년03월28일(일),흐림,포화,국5등급,1200M
518,2,3,하이하이,한,수,3세,55,함완식,정호익,김경민,532,1.5,1.2,"계란형큰, 망사눈",5-   -   - 5- 4- 3- 2,00:13.6,  ,  ,00:24.3,00:36.0,00:42.0,  ,01:13.0,2021년03월28일(일),흐림,포화,국5등급,1200M
519,3,7,달리는빛깔,한,수,4세,55.5,김용근,지용철,김종식,484,10,2.6,망사눈,8-   -   - 8- 6- 5- 4,00:13.8,  ,  ,00:24.8,00:36.4,00:42.4,  ,01:13.3,2021년03월28일(일),흐림,포화,국5등급,1200M
520,4,5,파이팅나우,한,수,4세,54.5,최범현,박종곤,김정철,477,6.3,2.3,망사눈,11-   -   - 12- 10- 10- 5,00:14.1,  ,  ,00:25.2,00:36.8,00:42.9,  ,01:13.6,2021년03월28일(일),흐림,포화,국5등급,1200M
521,5,2,용마루구,한,거,4세,53,박태종,우창구,장수영,503,34.5,4.7,망사눈,4-   -   - 2- 2- 2- 3,00:13.5,  ,  ,00:24.1,00:35.8,00:41.9,  ,01:13.9,2021년03월28일(일),흐림,포화,국5등급,1200M
522,6,4,영주스톤,한,수,4세,52,김옥성,서정하,유영준,489,481.5,22.2,"반가지큰,망사-",14-   -   - 14- 14- 13- 6,00:14.5,  ,  ,00:25.6,00:37.2,00:43.1,  ,01:14.2,2021년03월28일(일),흐림,포화,국5등급,1200M
523,7,10,클레이위너,한,수,4세,53.5,조한별,배휴준,김용래,498,38.8,3.3,눈가면,6-   -   - 6- 5- 6- 7,00:13.6,  ,  ,00:24.3,00:36.3,00:42.4,  ,01:14.3,2021년03월28일(일),흐림,포화,국5등급,1200M
524,8,1,바디스타,한,수,4세,54,조상범,임봉춘,김진태a,479,27.9,5.8,"망사눈,반가지큰-",10-   -   - 10- 8- 7- 11,00:14.0,  ,  ,00:25.0,00:36.5,00:42.6,  ,01:14.3,2021년03월28일(일),흐림,포화,국5등급,1200M
525,9,12,와일드우즈,한,거,4세,53.5,박현우,최용구,최동근,489,54,4,망사눈,9-   -   - 9- 9- 9- 10,00:13.8,  ,  ,00:24.8,00:36.5,00:42.8,  ,01:14.4,2021년03월28일(일),흐림,포화,국5등급,1200M
526,10,9,왕인행차,한,수,4세,53.5,우에다,서홍수,전영규,480,72.8,20.3,"계란형큰, 망사눈",2-   -   - 3- 3- 4- 9,00:13.4,  ,  ,00:24.1,00:35.9,00:42.1,  ,01:14.9,2021년03월28일(일),흐림,포화,국5등급,1200M
527,11,8,럭키마이더스,한,수,5세,56.5,김정준,김윤섭,조창규,474,92.6,10,계란형큰,12-   -   - 13- 13- 11- 8,00:14.1,  ,  ,00:25.4,00:37.1,00:43.0,  ,01:15.0,2021년03월28일(일),흐림,포화,국5등급,1200M
528,12,11,금아키튼,한,수,4세,56,이혁,이신영,금아산업(주),505,34.5,4.2,"계란형큰, 망사눈, 혀끈",3-   -   - 4- 7- 8- 13,00:13.4,  ,  ,00:24.2,00:36.4,00:42.7,  ,01:15.0,2021년03월28일(일),흐림,포화,국5등급,1200M
529,13,13,퓨처파이어,한,거,4세,53.5,문정균,최영주,손병현,484,438.1,26.9,"계란형큰, 망사눈",13-   -   - 11- 11- 12- 12,00:14.1,  ,  ,00:25.1,00:36.8,00:43.0,  ,01:15.2,2021년03월28일(일),흐림,포화,국5등급,1200M
530,14,14,원더케이,한,수,5세,51,임다빈,우창구,강경운,477,137,16,"망사눈, Triabit",7-   -   - 7- 12- 14- 14,00:13.6,  ,  ,00:24.6,00:36.8,00:43.3,  ,01:15.8,2021년03월28일(일),흐림,포화,국5등급,1200M
531,1,2,영광의미소,한,암,3세,53,임기원,박재우,변창덕,453,3,1.5,망사,3-   -   - 1- 1- 1- 1,00:13.4,  ,  ,00:23.8,00:35.4,00:41.5,  ,01:12.8,2021년03월28일(일),흐림,포화,국5등급,1200M
532,2,6,산뜻한스침,한,암,4세,54.5,문세영,안병기,우태율,477,6.8,1.8,"계란형큰, 망사눈",11-   -   - 9- 8- 8- 2,00:13.9,  ,  ,00:24.7,00:36.4,00:42.5,  ,01:13.4,2021년03월28일(일),흐림,포화,국5등급,1200M
533,3,4,포에버원,한,암,4세,54.5,최범현,박종곤,강태구,481,6.5,1.5,망사눈,7-   -   - 6- 5- 5- 4,00:13.6,  ,  ,00:24.3,00:36.0,00:42.2,  ,01:14.1,2021년03월28일(일),흐림,포화,국5등급,1200M
534,4,5,최고캠프,한,암,4세,55,빅투아르,리카디,함춘,490,3.1,1.4,망사눈,4-   -   - 4- 3- 3- 3,00:13.4,  ,  ,00:24.1,00:35.7,00:41.8,  ,01:14.2,2021년03월28일(일),흐림,포화,국5등급,1200M
535,5,12,원앤온리,한,암,4세,52.5,방춘식,지용철,조용학,493,213.1,45.9,눈가면,5-   -   - 5- 6- 6- 6,00:13.5,  ,  ,00:24.1,00:36.1,00:42.4,  ,01:14.3,2021년03월28일(일),흐림,포화,국5등급,1200M
536,6,10,포트스원,한,암,3세,52,문성혁,서인석,조창규,494,31.3,8.7,눈가면,1-   -   - 3- 4- 4- 5,00:13.3,  ,  ,00:23.9,00:35.8,00:41.9,  ,01:14.3,2021년03월28일(일),흐림,포화,국5등급,1200M
537,7,3,아마로네,한,암,6세,53,조한별,임봉춘,지앤지프로덕션,441,53.4,8.2,"반가지큰, 망사눈",12-   -   - 11- 11- 10- 7,00:14.0,  ,  ,00:25.0,00:37.0,00:43.0,  ,01:14.4,2021년03월28일(일),흐림,포화,국5등급,1200M
538,8,7,런던퀸,한,암,3세,53.5,이혁,안해양,임흥호,463,5.9,3.1,,13-   -   - 13- 12- 11- 8,00:14.1,  ,  ,00:25.2,00:37.1,00:43.0,  ,01:14.7,2021년03월28일(일),흐림,포화,국5등급,1200M
539,9,14,화려,한,암,4세,54,박현우,이관호,황은호,451,353.5,53.3,"계란형큰, 망사눈",10-   -   - 10- 9- 9- 10,00:13.8,  ,  ,00:24.7,00:36.7,00:42.8,  ,01:15.3,2021년03월28일(일),흐림,포화,국5등급,1200M
540,10,1,프리마니케,한,암,5세,52,이용호,서인석,천병득,462,37.8,4.1,"계란형큰, 망사눈",6-   -   - 8- 10- 12- 11,00:13.6,  ,  ,00:24.7,00:36.9,00:43.1,  ,01:15.4,2021년03월28일(일),흐림,포화,국5등급,1200M
541,11,13,원더플레이스,한,암,4세,53,김효정,우창구,이장운,444,77.5,12.3,망사눈,8-   -   - 7- 7- 7- 9,00:13.6,  ,  ,00:24.5,00:36.3,00:42.5,  ,01:15.5,2021년03월28일(일),흐림,포화,국5등급,1200M
542,12,8,기로,한,암,5세,52,이강서,유재길,전기섭,438,156.8,28.5,"계란형큰, 망사눈",9-   -   - 12- 13- 13- 13,00:13.8,  ,  ,00:25.1,00:37.3,00:43.6,  ,01:16.1,2021년03월28일(일),흐림,포화,국5등급,1200M
543,13,11,당찬바람,한,암,4세,52,김귀배,이희영,김재덕,450,72.3,6.5,망사눈,2-   -   - 2- 2- 2- 12,00:13.3,  ,  ,00:23.8,00:35.4,00:41.6,  ,01:17.2,2021년03월28일(일),흐림,포화,국5등급,1200M
544,14,9,초강국,한,암,4세,52.5,하정훈,홍대유,김종철,491,160.8,34.2,망사눈,14-   -   - 14- 14- 14- 14,00:15.0,  ,  ,00:25.9,00:38.8,00:46.0,  ,01:39.4,2021년03월28일(일),흐림,포화,국5등급,1200M
545,1,8,러블리케이,미,암,3세,52.5,문세영,우창구,강경운,471,4.6,1.5,,4-   -   - 5- 5- 4- 2,00:13.3,  ,  ,00:24.1,00:35.7,00:41.6,  ,01:12.5,2021년03월28일(일),흐림,포화,혼4등급,1200M
546,2,12,빅터문,미,암,3세,55.5,송재철,김동균,박정배,469,2.2,1.2,망사눈,5-   -   - 2- 2- 2- 1,00:13.3,  ,  ,00:23.5,00:35.0,00:41.1,  ,01:12.7,2021년03월28일(일),흐림,포화,혼4등급,1200M
547,3,6,매직페인터,미,암,4세,55,김동수,강성오,이경희,489,3.9,1.5,망사눈,7-   -   - 7- 6- 6- 3,00:13.5,  ,  ,00:24.3,00:35.8,00:41.8,  ,01:12.9,2021년03월28일(일),흐림,포화,혼4등급,1200M
548,4,10,사려니위너,미,암,4세,56,임기원,구자흥,오영익,473,18.8,3.4,"망사눈+,망사-,반가지큰-",6-   -   - 6- 7- 7- 5,00:13.4,  ,  ,00:24.1,00:36.1,00:42.0,  ,01:13.5,2021년03월28일(일),흐림,포화,혼4등급,1200M
549,5,2,그린와트,미,암,4세,52,김옥성,홍대유,김재영b,500,36.4,4.6,망사눈,3-   -   - 4- 3- 3- 4,00:13.3,  ,  ,00:23.8,00:35.3,00:41.3,  ,01:13.8,2021년03월28일(일),흐림,포화,혼4등급,1200M
550,6,13,라이오넷,미,암,3세,52.5,먼로,서인석,최상기,508,16.7,3.7,"계란형큰,망사눈-",12-   -   - 12- 12- 12- 10,00:14.0,  ,  ,00:25.1,00:37.0,00:43.1,  ,01:13.9,2021년03월28일(일),흐림,포화,혼4등급,1200M
551,7,1,맥스런,미,암,3세,53.5,김용근,이관호,권기연,476,28.8,4.5,망사눈,2-   -   - 3- 4- 5- 6,00:13.3,  ,  ,00:23.8,00:35.5,00:41.7,  ,01:14.0,2021년03월28일(일),흐림,포화,혼4등급,1200M
552,8,14,위너템플러,한,암,5세,53,유승완,박대흥,요시다 가츠미,454,8.6,2.6,,14-   -   - 14- 13- 13- 9,00:14.1,  ,  ,00:25.5,00:37.2,00:43.2,  ,01:14.1,2021년03월28일(일),흐림,포화,혼4등급,1200M
553,9,9,흥애디,미,암,3세,52,조한별,김대근,고광숙,505,190.7,29.7,망사눈,10-   -   - 10- 9- 9- 8,00:13.9,  ,  ,00:24.9,00:36.6,00:42.6,  ,01:14.3,2021년03월28일(일),흐림,포화,혼4등급,1200M
554,10,11,로드블랙,미,암,4세,52,이용호,최용구,표종순,545,94.9,13.9,망사,8-   -   - 8- 10- 10- 13,00:13.6,  ,  ,00:24.5,00:36.7,00:42.9,  ,01:14.6,2021년03월28일(일),흐림,포화,혼4등급,1200M
555,11,4,판타스틱,미,암,4세,52,박태종,박대흥,청수,444,214.3,30.6,망사눈,13-   -   - 11- 11- 11- 11,00:14.1,  ,  ,00:25.1,00:36.9,00:43.0,  ,01:15.4,2021년03월28일(일),흐림,포화,혼4등급,1200M
556,12,3,어나더초이스,미,암,4세,53,조상범,리카디,김중길,494,231.2,29.3,망사눈,1-   -   - 1- 1- 1- 7,00:13.2,  ,  ,00:23.5,00:35.0,00:41.1,  ,01:15.4,2021년03월28일(일),흐림,포화,혼4등급,1200M
557,13,7,리치모어리치,호,암,4세,53,박현우,김동균,서창식,441,191.7,64.8,,9-   -   - 9- 8- 8- 12,00:13.8,  ,  ,00:24.6,00:36.4,00:42.5,  ,01:15.8,2021년03월28일(일),흐림,포화,혼4등급,1200M
558,14,5,와이헤케천사,뉴,암,4세,52.5,우에다,박재우,권태석,453,340.6,49.3,,11-   -   - 13- 14- 14- 14,00:14.0,  ,  ,00:25.2,00:37.2,00:43.5,  ,01:15.9,2021년03월28일(일),흐림,포화,혼4등급,1200M
559,1,13,어마어마,미,수,4세,52,문세영,송문길,(주)나스카,487,2.2,1.2,"계란형큰, 망사눈",6-   -   - 6- 6- 6- 2,00:13.4,  ,  ,00:23.7,00:34.8,00:40.6,  ,01:10.8,2021년03월28일(일),흐림,포화,1등급,1200M
560,2,9,이스트제트,한,거,4세,54.5,먼로,서인석,김영구,498,2.2,1.1,"계란형큰, 눈가면",3-   -   - 3- 3- 3- 1,00:13.1,  ,  ,00:23.3,00:34.5,00:40.4,  ,01:11.0,2021년03월28일(일),흐림,포화,1등급,1200M
561,3,8,엠제이파워,미,거,5세,51,임기원,김동균,박정재,511,32.8,3.8,,8-   -   - 7- 7- 7- 3,00:13.5,  ,  ,00:24.1,00:35.4,00:41.1,  ,01:11.3,2021년03월28일(일),흐림,포화,1등급,1200M
562,4,10,짱콩,미,수,6세,52,김효정,배대선,이태인,501,28.6,3,망사,9-   -   - 8- 8- 8- 4,00:13.5,  ,  ,00:24.1,00:35.4,00:41.1,  ,01:11.3,2021년03월28일(일),흐림,포화,1등급,1200M
563,5,1,큐피드가이,미,거,5세,52,이혁,박천서,서순배,442,11.4,1.9,"반가지큰, 망사눈, 혀끈",7-   -   - 9- 9- 9- 9,00:13.5,  ,  ,00:24.3,00:35.7,00:41.5,  ,01:12.1,2021년03월28일(일),흐림,포화,1등급,1200M
564,6,3,리드머니,한,암,7세,51,박태종,박윤규,박덕희,492,171.5,13.5,"계란형큰, 망사눈",4-   -   - 5- 4- 4- 5,00:13.3,  ,  ,00:23.7,00:34.8,00:40.6,  ,01:12.3,2021년03월28일(일),흐림,포화,1등급,1200M
565,7,5,울트라펀치,미,거,5세,51,조상범,안병기,조명식,488,153.1,11.2,"계란형큰, 망사눈",11-   -   - 10- 11- 11- 10,00:13.7,  ,  ,00:24.3,00:35.8,00:41.6,  ,01:12.6,2021년03월28일(일),흐림,포화,1등급,1200M
