id,순위,마번,마명,산지,성별,연령,중량,기수명,조교사명,마주명,마체중,단승,연승,장구현황,구간별순위,S-1F,1코너,2코너,3코너,G-3F,4코너,G-1F,경주기록,날짜,날씨,주로상태,등급,거리
329,5,6,사이먼스톰,한,암,3세,54,우에다,조현수,이혜란,471,73.3,14.3,"계란형큰+,망사+",8-   -   - 9- 10- 10- 6,00:14.2,  ,  ,00:25.8,00:38.5,00:44.8,01:03.7,01:17.0,2020년11월07일(토),맑음,다습,국6,1200M
330,6,5,럭키가드,한,거,3세,56,이기회,김동균,김은갑,483,251.5,56.9,망사눈,5-   -   - 5- 6- 6- 5,00:13.9,  ,  ,00:25.3,00:37.8,00:44.2,01:03.4,01:17.3,2020년11월07일(토),맑음,다습,국6,1200M
331,7,9,청수라이더,한,수,3세,56,신형철,김윤섭,청수,482,29.6,8.5,망사눈,11-   -   - 10- 9- 9- 9,00:14.7,  ,  ,00:26.0,00:38.4,00:44.7,01:03.8,01:17.4,2020년11월07일(토),맑음,다습,국6,1200M
332,8,10,정문최강,한,수,2세,55,안토니오,홍대유,김재영b,493,3.7,1.8,혀끈+,7-   -   - 6- 7- 7- 7,00:14.1,  ,  ,00:25.3,00:37.9,00:44.3,01:03.7,01:17.5,2020년11월07일(토),맑음,다습,국6,1200M
333,9,3,정문폭주,한,수,2세,55,하정훈,홍대유,김재영b,486,12.5,2.8,,4-   -   - 7- 5- 5- 8,00:13.9,  ,  ,00:25.4,00:37.8,00:44.2,01:03.8,01:17.8,2020년11월07일(토),맑음,다습,국6,1200M
334,10,12,하트제니,한,암,3세,54,조한별,박희철,선우패션,451,69.1,8.6,망사눈,12-   -   - 12- 12- 12- 11,00:15.0,  ,  ,00:26.7,00:39.1,00:45.5,01:04.2,01:17.9,2020년11월07일(토),맑음,다습,국6,1200M
335,11,2,걸작맨,한,거,2세,55,권석원,박윤규,박덕희,475,87.1,10.8,"눈가면+,망사눈-",2-   -   - 2- 3- 3- 10,00:13.8,  ,  ,00:24.9,00:37.6,00:44.0,01:04.1,01:18.3,2020년11월07일(토),맑음,다습,국6,1200M
336,12,1,다나은석세스,한,거,3세,56,지하주,박천서,이진경,465,10.4,2.8,망사눈,9-   -   - 11- 11- 11- 12,00:14.4,  ,  ,00:26.2,00:38.7,00:45.3,01:04.6,01:18.8,2020년11월07일(토),맑음,다습,국6,1200M
337,1,1,초토마,한,거,3세,56,김용근,전승규,박남성,486,2.2,1.3,"망사, Triabit",1-   -   - 1- 1- 1- 1,00:13.2,  ,  ,00:23.8,00:35.7,00:42.0,  ,01:14.5,2020년11월07일(토),맑음,다습,국5,1200M
338,2,8,울트라애니,한,암,3세,52,조상범,안병기,조명식,479,49.4,6.1,"계란형큰, 망사눈",9-   -   - 9- 10- 9- 6,00:13.7,  ,  ,00:24.8,00:36.8,00:43.1,  ,01:14.7,2020년11월07일(토),맑음,다습,국5,1200M
339,3,11,피케이돌풍,한,거,3세,57,김정준,심승태,김태성,479,35.7,5.5,"망사+,망사눈-",7-   -   - 7- 5- 5- 4,00:13.6,  ,  ,00:24.6,00:36.4,00:42.7,  ,01:14.8,2020년11월07일(토),맑음,다습,국5,1200M
340,4,7,네버워크얼론,한,수,3세,55.5,빅투아르,최봉주,김정철,450,29.1,2.7,망사,8-   -   - 8- 9- 10- 8,00:13.7,  ,  ,00:24.8,00:36.8,00:43.2,  ,01:14.8,2020년11월07일(토),맑음,다습,국5,1200M
341,5,2,선오브스톰,한,거,3세,55,이동진,박대흥,양동희,516,3.9,2,,3-   -   - 2- 2- 2- 2,00:13.3,  ,  ,00:23.9,00:35.8,00:42.1,  ,01:15.1,2020년11월07일(토),맑음,다습,국5,1200M
342,6,9,로열고스트,한,암,4세,55.5,김동수,김동균,정기환,491,5.4,1.4,망사눈,12-   -   - 10- 8- 6- 7,00:14.0,  ,  ,00:24.8,00:36.5,00:42.8,  ,01:15.1,2020년11월07일(토),맑음,다습,국5,1200M
343,7,10,클레이위너,한,수,3세,54,조재로,배휴준,김용래,499,28,7.2,눈가면,6-   -   - 4- 4- 3- 3,00:13.5,  ,  ,00:24.1,00:36.1,00:42.4,  ,01:15.2,2020년11월07일(토),맑음,다습,국5,1200M
344,8,5,라온다이아,한,암,2세,53.5,이혁,박종곤,라온건설,438,7.5,1.9,,2-   -   - 3- 3- 4- 5,00:13.2,  ,  ,00:23.9,00:36.0,00:42.4,  ,01:15.2,2020년11월07일(토),맑음,다습,국5,1200M
345,9,4,윈드힐,한,암,3세,53.5,우에다,서인석,최상기,492,29.9,9.8,망사눈,4-   -   - 5- 7- 8- 10,00:13.4,  ,  ,00:24.2,00:36.5,00:43.0,  ,01:16.2,2020년11월07일(토),맑음,다습,국5,1200M
346,10,12,바비블레이드,한,암,3세,53.5,이현종,리카디,삼정,458,40.3,7.1,눈가면,11-   -   - 11- 12- 12- 12,00:13.9,  ,  ,00:25.0,00:37.2,00:43.5,  ,01:16.3,2020년11월07일(토),맑음,다습,국5,1200M
347,11,6,함양상림,한,암,4세,52.5,하정훈,신삼영,유영준,475,97.5,18.6,,10-   -   - 12- 11- 11- 11,00:13.9,  ,  ,00:25.2,00:37.2,00:43.5,  ,01:16.3,2020년11월07일(토),맑음,다습,국5,1200M
348,12,3,록비트,한,암,3세,52,다비드,손영표,류재욱,459,37.8,8.2,"계란형큰, 망사눈",5-   -   - 6- 6- 7- 9,00:13.5,  ,  ,00:24.5,00:36.5,00:42.9,  ,01:16.8,2020년11월07일(토),맑음,다습,국5,1200M
349,1,9,흥드림,한,수,2세,55,장추열,정호익,고광숙,498,4.4,1.4,망사눈,2-   -   - 2- 2- 2- 1,00:13.3,  ,  ,00:30.1,00:42.3,00:48.4,  ,01:21.0,2020년11월07일(토),맑음,다습,국6,1300M
350,2,7,제이호크,한,수,2세,55,김정준,송문길,허장원,454,5.1,2,망사눈,5-   -   - 3- 3- 3- 2,00:13.6,  ,  ,00:30.4,00:42.6,00:48.8,  ,01:21.1,2020년11월07일(토),맑음,다습,국6,1300M
351,3,11,그레이스퀸,한,암,3세,54,박병윤,홍대유,정이철,449,15.7,2.2,망사눈,3-   -   - 4- 4- 4- 3,00:13.5,  ,  ,00:30.4,00:42.6,00:48.8,  ,01:21.7,2020년11월07일(토),맑음,다습,국6,1300M
352,4,5,성실머니,한,암,3세,54,다비드,박윤규,이동훈,540,4.8,1.6,망사눈,7-   -   - 6- 6- 6- 4,00:13.8,  ,  ,00:30.9,00:43.0,00:49.1,  ,01:21.7,2020년11월07일(토),맑음,다습,국6,1300M
353,5,6,비뢰킹,한,거,3세,56,안토니오,배대선,김정두,485,2.4,1.1,"계란형큰, 망사",4-   -   - 5- 5- 5- 5,00:13.6,  ,  ,00:30.5,00:42.9,00:49.1,  ,01:21.8,2020년11월07일(토),맑음,다습,국6,1300M
354,6,10,천존,한,수,3세,56,하정훈,최봉주,조금제,516,262.8,19.8,눈가면,10-   -   - 10- 9- 7- 7,00:14.5,  ,  ,00:31.9,00:43.8,00:50.0,  ,01:21.9,2020년11월07일(토),맑음,다습,국6,1300M
355,7,1,케이엔여신,한,암,3세,54,이동진,박대흥,조경수,478,10.7,4.3,"계란형큰+,가지-",1-   -   - 1- 1- 1- 6,00:13.2,  ,  ,00:30.0,00:42.3,00:48.4,  ,01:22.9,2020년11월07일(토),맑음,다습,국6,1300M
356,8,4,스톰로드,한,암,2세,53,김옥성,최영주,손병현,433,200.9,13,망사,6-   -   - 7- 8- 9- 8,00:13.8,  ,  ,00:31.4,00:43.8,00:50.2,  ,01:23.3,2020년11월07일(토),맑음,다습,국6,1300M
357,9,2,그린트리서밋,한,암,3세,54,이강서,유재길,김영표,486,242.3,44.2,,8-   -   - 9- 10- 10- 9,00:14.1,  ,  ,00:31.7,00:44.2,00:50.5,  ,01:23.4,2020년11월07일(토),맑음,다습,국6,1300M
358,10,12,지금여기에,한,수,2세,55,정평수,지용철,최성룡,421,134.2,13.7,,11-   -   - 11- 11- 11- 10,00:14.5,  ,  ,00:32.5,00:45.1,00:51.3,  ,01:23.4,2020년11월07일(토),맑음,다습,국6,1300M
359,11,8,새로운파티,한,암,3세,54,부민호,심승태,김재성b,483,43.1,9,계란형큰+,9-   -   - 8- 7- 8- 11,00:14.3,  ,  ,00:31.4,00:43.7,00:50.1,  ,01:27.6,2020년11월07일(토),맑음,다습,국6,1300M
360,1,10,언패럴렐드,한,수,3세,54.5,김용근,최봉주,오종환,487,1.6,1.7,계란형큰,2-   -   - 2- 2- 2- 2,00:13.5,  ,  ,00:30.1,00:42.0,00:48.2,  ,01:21.2,2020년11월07일(토),맑음,다습,국5,1300M
361,2,8,챌린지삭스,한,암,3세,52.5,이현종,이관호,김창식,462,23.6,2,"계란형큰, 망사",7-   -   - 8- 8- 8- 5,00:13.7,  ,  ,00:30.7,00:42.9,00:49.1,  ,01:21.3,2020년11월07일(토),맑음,다습,국5,1300M
362,3,6,어메이징위즈,한,암,3세,53,김정준,송문길,최몽주,458,8.8,2.1,,1-   -   - 1- 1- 1- 1,00:13.4,  ,  ,00:30.1,00:42.0,00:48.2,  ,01:21.4,2020년11월07일(토),맑음,다습,국5,1300M
363,4,5,산뜻한스침,한,암,3세,53.5,조상범,안병기,우태율,484,8.2,1.6,"계란형큰, 망사눈",6-   -   - 6- 7- 6- 3,00:13.7,  ,  ,00:30.5,00:42.6,00:48.8,  ,01:21.5,2020년11월07일(토),맑음,다습,국5,1300M
364,5,4,파이팅나우,한,수,3세,53.5,최범현,박종곤,김정철,475,11.4,1.6,망사눈,8-   -   - 7- 6- 5- 4,00:13.8,  ,  ,00:30.7,00:42.6,00:48.8,  ,01:21.8,2020년11월07일(토),맑음,다습,국5,1300M
365,6,3,회복,한,수,3세,54,김덕현,박재우,이종천,501,37.2,4.6,망사+,5-   -   - 4- 4- 4- 6,00:13.7,  ,  ,00:30.3,00:42.3,00:48.5,  ,01:22.4,2020년11월07일(토),맑음,다습,국5,1300M
366,7,9,선더머니,한,거,5세,52,다비드,손영표,박성구,466,70.2,19.8,"반가지큰, 혀끈",11-   -   - 9- 9- 9- 7,00:14.0,  ,  ,00:30.8,00:42.9,00:49.2,  ,01:22.5,2020년11월07일(토),맑음,다습,국5,1300M
367,8,7,삼성비바,한,수,3세,51.5,임다빈,박천서,한명로,472,20,4.4,"반가지큰, 망사눈",12-   -   - 10- 10- 10- 10,00:14.1,  ,  ,00:31.1,00:43.1,00:49.4,  ,01:22.5,2020년11월07일(토),맑음,다습,국5,1300M
368,9,12,원더케이,한,수,4세,53,지하주,우창구,강경운,484,18.8,15.1,"망사눈, Triabit",3-   -   - 5- 5- 7- 9,00:13.5,  ,  ,00:30.3,00:42.5,00:48.8,  ,01:22.6,2020년11월07일(토),맑음,다습,국5,1300M
369,10,2,골드파크,한,암,4세,52.5,하정훈,김동균,김은갑,502,91.3,8.4,"계란형큰, 망사눈",10-   -   - 11- 11- 11- 11,00:14.0,  ,  ,00:31.3,00:43.5,00:49.7,  ,01:23.1,2020년11월07일(토),맑음,다습,국5,1300M
370,11,11,이비사걸,한,암,3세,52.5,이동국,리카디,공이공팔,426,145.5,33.7,망사눈,9-   -   - 12- 12- 12- 12,00:13.9,  ,  ,00:31.4,00:44.0,00:50.4,  ,01:23.3,2020년11월07일(토),맑음,다습,국5,1300M
371,12,1,굿원더,한,암,4세,53.5,함완식,신삼영,오종환,523,9,3.9,,4-   -   - 3- 3- 3- 8,00:13.6,  ,  ,00:30.3,00:42.3,00:48.5,  ,01:23.8,2020년11월07일(토),맑음,다습,국5,1300M
372,1,6,드림포레,한,수,3세,54,송재철,김동균,드림커뮤니티,533,6.5,1.5,,1-   -   - 2- 2- 2- 1,00:13.0,  ,  ,00:29.3,00:41.6,00:47.9,  ,01:21.0,2020년11월07일(토),맑음,다습,국4,1300M
373,2,1,카히나,한,암,4세,53.5,박을운,이관호,오종택,457,12,2.1,망사눈,3-   -   - 3- 3- 3- 3,00:13.1,  ,  ,00:29.6,00:41.7,00:48.3,  ,01:21.3,2020년11월07일(토),맑음,다습,국4,1300M
374,3,8,라온패션,한,거,3세,57.5,이혁,박종곤,라온산업개발(주),455,1.5,1.1,망사눈,2-   -   - 1- 1- 1- 2,00:13.0,  ,  ,00:29.0,00:41.4,00:47.9,  ,01:21.5,2020년11월07일(토),맑음,다습,국4,1300M
375,4,3,원더풀스톰,한,수,3세,52,조한별,서범석,지대섭,476,4.8,2.1,,8-   -   - 7- 7- 7- 5,00:13.9,  ,  ,00:30.6,00:42.7,00:49.0,  ,01:21.6,2020년11월07일(토),맑음,다습,국4,1300M
376,5,2,사이먼리치,한,수,6세,51,조재로,배휴준,황철연,470,180.3,14.5,,7-   -   - 10- 10- 9- 7,00:13.8,  ,  ,00:30.9,00:43.1,00:49.4,  ,01:21.7,2020년11월07일(토),맑음,다습,국4,1300M
377,5,10,옥룡,미,거,3세,53.5,함완식,강성오,이긍열,472,18.4,2.3,"계란형큰, 망사눈",6-   -   - 6- 6- 6- 6,00:13.6,  ,  ,00:30.5,00:42.5,00:48.9,  ,01:21.7,2020년11월07일(토),맑음,다습,국4,1300M
378,7,4,정상으뜸,한,거,5세,53.5,임다빈,박희철,정동진,482,136.3,10.6,망사눈,5-   -   - 5- 5- 4- 4,00:13.4,  ,  ,00:30.2,00:42.2,00:48.5,  ,01:21.7,2020년11월07일(토),맑음,다습,국4,1300M
379,8,7,시티챔프,한,수,6세,51,우에다,박윤규,윤훈현,494,126.6,8.5,"계란형큰,눈가면-",12-   -   - 12- 12- 12- 9,00:14.4,  ,  ,00:31.5,00:43.8,00:50.0,  ,01:21.8,2020년11월07일(토),맑음,다습,국4,1300M
380,9,5,인디언보스,한,수,4세,52,이철경,서인석,코리아호스랜드,480,74.3,3.9,"계란형큰, 망사눈",9-   -   - 8- 8- 8- 10,00:13.9,  ,  ,00:30.6,00:43.0,00:49.3,  ,01:22.0,2020년11월07일(토),맑음,다습,국4,1300M
381,10,12,대군의검,미,수,4세,57.5,김덕현,최용구,표종진,531,61.9,14.1,"계란형큰, 망사눈,혀끈+",4-   -   - 4- 4- 5- 8,00:13.3,  ,  ,00:29.9,00:42.1,00:48.5,  ,01:23.0,2020년11월07일(토),맑음,다습,국4,1300M
382,11,9,초동보배,한,암,4세,56,김옥성,최영주,손병현,461,112.4,6.2,양털코-,10-   -   - 11- 11- 11- 11,00:13.9,  ,  ,00:31.3,00:43.3,00:49.7,  ,01:23.1,2020년11월07일(토),맑음,다습,국4,1300M
383,12,11,엘리트퀸,한,암,7세,55.5,하정훈,박희철,노환영,472,260.1,26.3,"계란형큰, 망사눈",11-   -   - 9- 9- 10- 12,00:13.9,  ,  ,00:30.7,00:43.0,00:49.4,  ,01:24.4,2020년11월07일(토),맑음,다습,국4,1300M
384,1,7,레벨탑,호,거,4세,56,김덕현,박재우,이미양,486,6.1,1.7,"반가지큰, 망사눈",1-   -   - 1- 1- 1- 1,00:13.2,  ,  ,00:23.6,00:35.1,00:41.3,01:00.4,01:14.4,2020년11월07일(토),맑음,다습,혼4,1200M
385,2,3,문학서브,미,거,3세,54,신형철,홍대유,김재영a,508,13.6,2.8,망사눈,6-   -   - 6- 5- 5- 4,00:13.6,  ,  ,00:24.7,00:36.2,00:42.4,01:01.1,01:14.5,2020년11월07일(토),맑음,다습,혼4,1200M
386,3,10,카일룸제왕,미,거,3세,54,박현우,최용구,한종희,482,19.9,2.2,"계란형큰, 망사눈, 혀끈",5-   -   - 5- 6- 6- 5,00:13.5,  ,  ,00:24.6,00:36.3,00:42.5,01:01.2,01:15.1,2020년11월07일(토),맑음,다습,혼4,1200M
387,4,1,선붐,미,수,3세,57,조재로,서범석,이신근,499,2.4,1.3,계란형큰,4-   -   - 4- 3- 3- 2,00:13.4,  ,  ,00:24.1,00:35.6,00:41.8,01:01.0,01:15.2,2020년11월07일(토),맑음,다습,혼4,1200M
388,5,2,남산의별,미,수,2세,53,이동진,리카디,이기선,462,38.4,4.7,혀끈+,8-   -   - 7- 8- 8- 8,00:14.0,  ,  ,00:24.9,00:36.6,00:42.7,01:01.5,01:15.2,2020년11월07일(토),맑음,다습,혼4,1200M
389,6,6,에이스파워풀,미,거,3세,54,지하주,박천서,윤훈현,464,104.2,7.5,망사눈,10-   -   - 10- 9- 9- 9,00:14.2,  ,  ,00:25.4,00:37.0,00:43.1,01:01.6,01:15.3,2020년11월07일(토),맑음,다습,혼4,1200M
390,7,12,땡큐보스,미,암,3세,52,조한별,최용구,강용식,513,212.6,37.2,반가지큰,7-   -   - 9- 10- 10- 10,00:13.8,  ,  ,00:25.1,00:37.4,00:44.0,01:02.3,01:15.4,2020년11월07일(토),맑음,다습,혼4,1200M
391,8,5,메디치스토리,호,수,4세,54,김용근,송문길,(주)나스카,504,2.8,1.7,망사눈,9-   -   - 8- 7- 7- 6,00:14.2,  ,  ,00:25.0,00:36.6,00:42.6,01:01.4,01:15.5,2020년11월07일(토),맑음,다습,혼4,1200M
392,9,8,어마무시,미,거,3세,52,임다빈,안병기,우태율,516,41.4,14.3,"망사눈, 혀끈",2-   -   - 2- 2- 2- 3,00:13.2,  ,  ,00:23.6,00:35.1,00:41.3,01:01.0,01:16.3,2020년11월07일(토),맑음,다습,혼4,1200M
393,10,11,맥스런,미,암,2세,52,송재철,이관호,권기연,484,9.2,2.1,망사눈,3-   -   - 3- 4- 4- 7,00:13.3,  ,  ,00:24.0,00:35.6,00:41.8,01:01.4,01:16.7,2020년11월07일(토),맑음,다습,혼4,1200M
394,11,9,빅토리메신저,호,거,4세,54,안효리,배대선,서홍배,533,100.2,11.3,,11-   -   - 11- 11- 11- 11,00:14.5,  ,  ,00:25.9,00:37.8,00:44.1,01:03.8,01:19.4,2020년11월07일(토),맑음,다습,혼4,1200M
395,1,6,메니챔프,한,수,3세,55.5,신형철,안병기,조명식,463,5.7,1.6,계란형큰,2-   -   - 1- 1- 1- 1,00:13.4,  ,  ,00:24.2,00:36.2,00:42.4,  ,01:13.5,2020년11월07일(토),맑음,양호,국4,1200M
396,2,7,핵삭스,한,수,3세,54,안토니오,강환민,김창식,495,3.7,1.9,자극판,4-   -   - 3- 4- 4- 3,00:13.6,  ,  ,00:24.5,00:36.7,00:42.9,  ,01:14.1,2020년11월07일(토),맑음,양호,국4,1200M
397,3,8,머니시장,한,암,3세,51,이현종,배대선,박상헌,472,3.2,2.5,망사,3-   -   - 4- 2- 2- 2,00:13.5,  ,  ,00:24.5,00:36.4,00:42.7,  ,01:14.3,2020년11월07일(토),맑음,양호,국4,1200M
398,4,11,센토사,한,암,4세,52,이철경,서인석,박철근,475,52.9,11.4,,10-   -   - 8- 8- 7- 5,00:13.9,  ,  ,00:25.0,00:37.0,00:43.2,  ,01:14.7,2020년11월07일(토),맑음,양호,국4,1200M
399,5,1,머니포켓,한,암,4세,52,이기회,김동균,최임규,466,40.9,8.7,망사눈,5-   -   - 6- 7- 8- 8,00:13.7,  ,  ,00:24.9,00:37.0,00:43.3,  ,01:15.1,2020년11월07일(토),맑음,양호,국4,1200M
400,6,2,정문서미트,한,수,3세,57,김정준,홍대유,김재영b,492,8.9,1.9,망사,6-   -   - 5- 5- 5- 4,00:13.7,  ,  ,00:24.8,00:36.8,00:43.0,  ,01:15.1,2020년11월07일(토),맑음,양호,국4,1200M
401,7,5,원더풀헤네시,한,암,4세,52,김용근,임봉춘,지대섭,503,8.4,1.9,"반가지큰, 망사눈",8-   -   - 9- 9- 9- 9,00:13.8,  ,  ,00:25.1,00:37.3,00:43.6,  ,01:15.3,2020년11월07일(토),맑음,양호,국4,1200M
402,8,3,영화즈플라잉,한,암,4세,51.5,임다빈,최봉주,김정철,468,6.6,1.8,계란형큰,1-   -   - 2- 3- 3- 7,00:13.4,  ,  ,00:24.4,00:36.5,00:42.9,  ,01:15.8,2020년11월07일(토),맑음,양호,국4,1200M
403,9,10,위닝블레이드,한,거,4세,52,이동진,박대흥,김형란,523,31.9,4.6,"계란형큰, 혀끈",9-   -   - 10- 11- 12- 10,00:13.9,  ,  ,00:25.3,00:37.6,00:44.0,  ,01:15.8,2020년11월07일(토),맑음,양호,국4,1200M
404,10,12,버킷풀골드,한,수,4세,54.5,최범현,안해양,김길중,489,46.4,9.3,눈가면,7-   -   - 7- 6- 6- 6,00:13.7,  ,  ,00:24.9,00:36.8,00:43.0,  ,01:15.8,2020년11월07일(토),맑음,양호,국4,1200M
405,11,4,피케이군주,한,수,4세,53.5,하정훈,신삼영,김태성,504,136.9,26.6,망사,11-   -   - 11- 10- 10- 11,00:14.1,  ,  ,00:25.4,00:37.5,00:43.9,  ,01:16.8,2020년11월07일(토),맑음,양호,국4,1200M
406,12,9,언디피티드,한,수,5세,51,지하주,우창구,유길상,431,130.4,38.1,망사,12-   -   - 12- 12- 11- 12,00:14.2,  ,  ,00:25.5,00:37.8,00:44.0,  ,01:18.7,2020년11월07일(토),맑음,양호,국4,1200M
407,1,8,클린업벨라,미,수,3세,57,김덕현,박재우,씨유네트워크,493,9999.9,9999.9,눈가면,1-   -   - 1- 1- 1- 1,00:13.3,  ,  ,00:36.3,00:49.2,00:55.9,  ,01:27.0,2020년12월19일(토),맑음,건조,혼3,1400M
408,2,2,큐피드미션,미,수,3세,55,신형철,서범석,서순배,468,9999.9,9999.9,,3-   -   - 3- 3- 3- 4,00:13.6,  ,  ,00:36.8,00:49.6,00:56.4,  ,01:27.3,2020년12월19일(토),맑음,건조,혼3,1400M
409,3,3,뉴문워리어,한,거,3세,54,문세영,송문길,최종환,482,9999.9,9999.9,망사,6-   -   - 6- 6- 4- 3,00:13.7,  ,  ,00:37.0,00:49.8,00:56.5,  ,01:27.4,2020년12월19일(토),맑음,건조,혼3,1400M
410,4,14,수리수리마,미,암,3세,52,송재철,강환민,서창식,483,9999.9,9999.9,망사눈,9-   -   - 9- 10- 11- 11,00:13.9,  ,  ,00:37.2,00:50.1,00:57.0,  ,01:27.8,2020년12월19일(토),맑음,건조,혼3,1400M
411,5,9,스프링킹,미,거,3세,54,다비드,토니,(주)디알엠씨티,490,9999.9,9999.9,"계란형큰,망사눈+, 혀끈,망사-",5-   -   - 2- 2- 2- 2,00:13.6,  ,  ,00:36.5,00:49.4,00:56.2,  ,01:27.9,2020년12월19일(토),맑음,건조,혼3,1400M
412,6,1,다이나믹펀치,한,거,3세,53,문성혁,서인석,이일형,470,9999.9,9999.9,"계란형큰, 망사눈",10-   -   - 10- 8- 9- 6,00:14.0,  ,  ,00:37.3,00:50.0,00:56.9,  ,01:28.1,2020년12월19일(토),맑음,건조,혼3,1400M
413,7,10,매치캡틴,미,수,4세,54,이철경,서인석,고재완,484,9999.9,9999.9,"계란형큰, 눈가면",11-   -   - 12- 11- 10- 9,00:14.1,  ,  ,00:37.6,00:50.3,00:57.0,  ,01:28.2,2020년12월19일(토),맑음,건조,혼3,1400M
414,8,13,록의제왕,미,수,3세,54,김용근,이신영,정영식,489,9999.9,9999.9,망사,12-   -   - 11- 12- 12- 5,00:14.2,  ,  ,00:37.5,00:50.4,00:57.1,  ,01:28.4,2020년12월19일(토),맑음,건조,혼3,1400M
415,9,7,러닝복스,한,암,4세,55,임기원,최봉주,오종환,457,9999.9,9999.9,망사눈,4-   -   - 5- 4- 5- 8,00:13.6,  ,  ,00:36.9,00:49.6,00:56.5,  ,01:28.4,2020년12월19일(토),맑음,건조,혼3,1400M
416,10,5,루킹퍼스트,미,수,3세,55,이혁,최용구,홍기석,518,9999.9,9999.9,반가지큰,7-   -   - 8- 9- 7- 7,00:13.7,  ,  ,00:37.2,00:50.0,00:56.6,  ,01:28.4,2020년12월19일(토),맑음,건조,혼3,1400M
417,11,11,대군불패,미,수,4세,56,안토니오,최용구,표종순,507,9999.9,9999.9,양털코,8-   -   - 7- 7- 8- 10,00:13.7,  ,  ,00:37.0,00:49.9,00:56.7,  ,01:28.7,2020년12월19일(토),맑음,건조,혼3,1400M
418,12,6,마이시스터니나,미,암,4세,52,지하주,박천서,김종진,464,9999.9,9999.9,"반가지큰, 망사눈",14-   -   - 14- 14- 14- 14,00:15.3,  ,  ,00:38.4,00:51.0,00:57.6,  ,01:29.2,2020년12월19일(토),맑음,건조,혼3,1400M
419,13,12,파이널스타,미,거,5세,51,임다빈,우창구,정기환,510,9999.9,9999.9,"망사눈, Triabit",13-   -   - 13- 13- 13- 13,00:14.3,  ,  ,00:37.6,00:50.6,00:57.2,  ,01:29.6,2020년12월19일(토),맑음,건조,혼3,1400M
420,14,4,케이엔에이스,미,암,4세,52,이현종,박대흥,조경수,476,9999.9,9999.9,,2-   -   - 4- 5- 6- 12,00:13.5,  ,  ,00:36.8,00:49.7,00:56.5,  ,01:29.7,2020년12월19일(토),맑음,건조,혼3,1400M
421,1,6,블루케이,한,암,3세,55,김용근,송문길,강경운,528,1.2,1.1,망사,1-   -   - 1- 1- 1- 1,00:13.6,  ,  ,00:36.8,00:48.8,00:54.9,  ,01:26.6,2020년11월07일(토),맑음,양호,국5,1400M
422,2,8,동쪽글로리,한,거,3세,53,임다빈,정호익,김영구,483,7,1.2,망사눈,2-   -   - 2- 2- 2- 2,00:13.7,  ,  ,00:37.1,00:49.0,00:55.1,  ,01:27.9,2020년11월07일(토),맑음,양호,국5,1400M
423,3,7,금성에이스,한,암,3세,54,이철경,서인석,조창규,503,28.1,4.1,"계란형큰, 망사눈",8-   -   - 7- 7- 7- 3,00:14.3,  ,  ,00:37.8,00:50.0,00:56.2,  ,01:28.0,2020년11월07일(토),맑음,양호,국5,1400M
424,4,1,만세,한,거,3세,56,김덕현,임봉춘,김진태a,485,15.8,3.6,"반가지큰, 망사눈",3-   -   - 5- 5- 5- 6,00:13.9,  ,  ,00:37.3,00:49.6,00:55.9,  ,01:29.0,2020년11월07일(토),맑음,양호,국5,1400M
425,5,4,펀치파워,한,수,3세,55,함완식,박희철,강석대,504,100,4.6,"계란형큰, 눈가면",12-   -   - 9- 8- 8- 8,00:15.0,  ,  ,00:38.1,00:50.4,00:56.6,  ,01:29.2,2020년11월07일(토),맑음,양호,국5,1400M
426,6,9,와니케이,한,암,5세,54,우에다,유재길,김영완,460,153.9,5.4,"반가지큰, 눈가면",6-   -   - 6- 6- 6- 7,00:14.0,  ,  ,00:37.5,00:49.8,00:55.9,  ,01:29.4,2020년11월07일(토),맑음,양호,국5,1400M
427,7,11,라온제임스,한,거,4세,57,조상범,안병기,라온산업개발(주),508,53.5,2.3,"계란형큰, 망사눈",4-   -   - 3- 3- 3- 4,00:13.9,  ,  ,00:37.1,00:49.0,00:55.1,  ,01:29.5,2020년11월07일(토),맑음,양호,국5,1400M
428,8,5,싱싱장수,한,거,4세,56,조재로,배휴준,전석호,484,29.3,4.9,"반가지큰, 눈가면",11-   -   - 10- 9- 9- 9,00:14.9,  ,  ,00:38.1,00:50.6,00:57.1,  ,01:29.5,2020년11월07일(토),맑음,양호,국5,1400M
429,9,2,화려,한,암,3세,54,박을운,이관호,황은호,469,47.4,6.1,"계란형큰, 망사눈",5-   -   - 8- 10- 10- 10,00:14.0,  ,  ,00:38.1,00:50.9,00:57.2,  ,01:30.3,2020년11월07일(토),맑음,양호,국5,1400M
430,10,10,페더럴킹,한,수,3세,57,조한별,지용철,금악목장,512,18.5,6.6,"망사눈, Triabit",9-   -   - 11- 12- 12- 11,00:14.5,  ,  ,00:38.5,00:51.3,00:57.7,  ,01:30.4,2020년11월07일(토),맑음,양호,국5,1400M
431,11,12,하나미치,한,거,4세,55,박현우,곽영효,강균호,501,23.3,13.4,망사눈,7-   -   - 4- 4- 4- 5,00:14.0,  ,  ,00:37.1,00:49.0,00:55.1,  ,01:30.7,2020년11월07일(토),맑음,양호,국5,1400M
